SLIPID,SLIPTIMESTAMP,PLAYER_ID,CURRENTSF,LOGSF,STAKE,GGR,BETODD,SPORTNAMEENGLISH,LEAGUENAMEENGLISH,EVENTDESCRIPTION,GAMEDESCRIPTION,Market Name,Market Name Corners,RESULTDESCRIPTION,SRC_EVENT_ID,GOAL_EXP_HOME,GOAL_EXP_AWAY,DRAW_FACTOR,FIRST_HALF_GOALS_PERC,INJURY_TIME_1ST_HALF,INJURY_TIME_2ND_HALF,MINUTES,Data Set,Default 1st Half Injury Time,1st Half Injury Time change?,Magnitude of change,Magnitude of change relative,Concat
7906557406,0.011354167,709002411,0.01,1,83.110675,83.110675,4.8,Football,Eredivisie,Ajax Amsterdam - Heracles Almelo,Most Corners,Most Corners,Most Corners,Heracles Almelo,7557506,2.3424,0.8669,0.9576,0.4538,2,5,30,Dynamic,2,1st Half Inj Time decreased,1,-1,7557506Heracles AlmeloMost Corners
7887901734,0.007974537,708856800,0.3,0.3,2.42847786,2.42847786,8.75,Football,Paulista Serie A1,EC Agua Santa SP - SE Palmeiras SP,Total Corners,Total Corners,Total Corners,"Over 14,5",7544673,0.5086,2.8958,0.9496,0.437,2,5,81,Dynamic,2,No change in 1st Half Inj Time,0,0,"7544673Over 14,5Total Corners"
7717177848,0.031319444,560527425,0.5,0.5,140.6819281,-182.8925418,2.3,Football,Premier League,Tottenham Hotspur - Chelsea,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 6,5",7514094,1.4534,2.0436,0.9392,0.4612,4,7,14,Dynamic,4,1st Half Inj Time decreased,2,-2,"7514094Over 6,51st Half - Total Corners"
7846091225,0.032592593,560527425,0.5,0.5,118.414032,118.414032,1.93,Football,Bundesliga,FC St. Pauli - Union Berlin,Total Corners,Total Corners,Total Corners,"Over 12,5",7535548,1.1771,1.124,0.9059,0.3997,1,6,58,Dynamic,3,1st Half Inj Time decreased,2,-2,"7535548Over 12,5Total Corners"
7907755278,0.006481481,708655224,0.3,0.3,8.3110675,8.3110675,2.95,Football,Paulista Serie A1,SE Palmeiras SP - Sao Paulo FC SP,Total Corners,Total Corners,Total Corners,"Over 11,5",7558282,1.7954,0.7933,0.9757,0.5024,2,5,77,Dynamic,2,No change in 1st Half Inj Time,0,0,"7558282Over 11,5Total Corners"
7614489630,0.023541667,581292848,0.01,1,30,-22.5,1.75,Football,UEFA Champions League,Real Madrid - AC Milan,Corners Matchbet,Corners Matchbet,Corners Matchbet,Real Madrid,6572305,2.2663,1.1297,0.9587,0.437,4,5,70,Dynamic,2,1st Half Inj Time increased,2,2,6572305Real MadridCorners Matchbet
7907891921,0.021678241,709126078,0.01,0.01,0.08311068,0.08311068,29,Football,Paulista Serie A1,Santos FC SP - EC Agua Santa SP,Most Corners,Most Corners,Most Corners,EC Agua Santa SP,7558271,2.3418,0.6843,0.947,0.4528,2,5,45,Dynamic,2,No change in 1st Half Inj Time,0,0,7558271EC Agua Santa SPMost Corners
7725818534,0.007523148,703948896,0.3,0.3,15.641066,15.641066,4.6,Football,FIFA Intercontinental Cup,Botafogo FR RJ - CF Pachuca,Total Corners,Total Corners,Total Corners,"Over 10,5",7523709,1.7842,0.8361,0.9589,0.4483,3,5,51,Dynamic,2,1st Half Inj Time increased,1,1,"7523709Over 10,5Total Corners"
7804585765,0.016215278,708036220,0.01,0.3,63.713336,63.713336,1.95,Football,FA Cup,Manchester City - Salford City,Total Corners,Total Corners,Total Corners,"Under 7,5",7525520,3.2689,0.5604,1.0873,0.437,3,5,77,Dynamic,2,1st Half Inj Time increased,1,1,"7525520Under 7,5Total Corners"
7678673176,0.040520833,649389275,0.01,1,81.994225,-90.1936475,2.1,Football,Brasileiro Serie A,SE Palmeiras SP - Botafogo FR RJ,SE Palmeiras SP - Total Corners,Medium Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 4,5",7515332,1.7882,0.9636,0.94,0.437,5,5,66,Dynamic,2,1st Half Inj Time increased,3,3,"7515332Over 4,5Medium Jolly - Total Corners"
